Location,Indicator,Period,Dim1,First Tooltip
Afghanistan,Concentrations of fine particulate matter (PM2.5),2016,Total,53.17 [40.08-75.76]
Afghanistan,Concentrations of fine particulate matter (PM2.5),2016,Urban,59.85 [45.64-79.99]
Afghanistan,Concentrations of fine particulate matter (PM2.5),2016,Rural,48.71 [36.48-74.63]
Albania,Concentrations of fine particulate matter (PM2.5),2016,Total,17.87 [16.3-20.6]
Albania,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.17 [16.51-20.95]
Albania,Concentrations of fine particulate matter (PM2.5),2016,Rural,16.88 [15.32-19.41]
Algeria,Concentrations of fine particulate matter (PM2.5),2016,Total,35.17 [19.84-71.92]
Algeria,Concentrations of fine particulate matter (PM2.5),2016,Urban,34.5 [17.19-73.24]
Algeria,Concentrations of fine particulate matter (PM2.5),2016,Rural,37.65 [21.14-79.92]
Andorra,Concentrations of fine particulate matter (PM2.5),2016,Total,9.95 [9.84-12.6]
Andorra,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.52 [10.54-13.21]
Andorra,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.08 [7.57-10.91]
Angola,Concentrations of fine particulate matter (PM2.5),2016,Total,27.95 [16.01-53.83]
Angola,Concentrations of fine particulate matter (PM2.5),2016,Urban,28.41 [15.49-60.1]
Angola,Concentrations of fine particulate matter (PM2.5),2016,Rural,27.75 [16.32-53.76]
Antigua and Barbuda,Concentrations of fine particulate matter (PM2.5),2016,Total,17.92 [10.4-34.1]
Antigua and Barbuda,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.04 [10.48-34.25]
Antigua and Barbuda,Concentrations of fine particulate matter (PM2.5),2016,Rural,14.9 [8.17-28.09]
Argentina,Concentrations of fine particulate matter (PM2.5),2016,Total,11.83 [9.82-18.99]
Argentina,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.68 [9.93-17.38]
Argentina,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.27 [9.4-21.58]
Armenia,Concentrations of fine particulate matter (PM2.5),2016,Total,30.48 [20.14-45.85]
Armenia,Concentrations of fine particulate matter (PM2.5),2016,Urban,32.86 [21.03-49.05]
Armenia,Concentrations of fine particulate matter (PM2.5),2016,Rural,23.71 [16.45-33]
Australia,Concentrations of fine particulate matter (PM2.5),2016,Total,7.19 [7.41-9.67]
Australia,Concentrations of fine particulate matter (PM2.5),2016,Urban,7.3 [7.63-10.02]
Australia,Concentrations of fine particulate matter (PM2.5),2016,Rural,6.07 [5.98-7.78]
Austria,Concentrations of fine particulate matter (PM2.5),2016,Total,12.43 [12.13-12.85]
Austria,Concentrations of fine particulate matter (PM2.5),2016,Urban,13.1 [12.69-13.53]
Austria,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.91 [10.63-11.42]
Azerbaijan,Concentrations of fine particulate matter (PM2.5),2016,Total,18.2 [10.8-35.39]
Azerbaijan,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.51 [10.67-38.65]
Azerbaijan,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.82 [10.93-32.33]
Bahamas,Concentrations of fine particulate matter (PM2.5),2016,Total,17.56 [8.65-36.06]
Bahamas,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.99 [8.89-37.49]
Bahamas,Concentrations of fine particulate matter (PM2.5),2016,Rural,15.6 [7.83-31.89]
Bahrain,Concentrations of fine particulate matter (PM2.5),2016,Total,69.04 [51.71-90.68]
Bahrain,Concentrations of fine particulate matter (PM2.5),2016,Urban,69.01 [51.53-90.62]
Bahrain,Concentrations of fine particulate matter (PM2.5),2016,Rural,70.7 [49.56-98.38]
Bangladesh,Concentrations of fine particulate matter (PM2.5),2016,Total,58.33 [51.02-68.72]
Bangladesh,Concentrations of fine particulate matter (PM2.5),2016,Urban,58.62 [51.26-69.04]
Bangladesh,Concentrations of fine particulate matter (PM2.5),2016,Rural,52.88 [44.9-64.79]
Barbados,Concentrations of fine particulate matter (PM2.5),2016,Total,22.24 [13.41-41.06]
Barbados,Concentrations of fine particulate matter (PM2.5),2016,Urban,22.35 [13.45-41.3]
Barbados,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.28 [11.82-37.42]
Belarus,Concentrations of fine particulate matter (PM2.5),2016,Total,18.06 [16.16-21.63]
Belarus,Concentrations of fine particulate matter (PM2.5),2016,Urban,19.35 [17.38-23.28]
Belarus,Concentrations of fine particulate matter (PM2.5),2016,Rural,16.37 [13.99-20.02]
Belgium,Concentrations of fine particulate matter (PM2.5),2016,Total,12.88 [12.44-13.52]
Belgium,Concentrations of fine particulate matter (PM2.5),2016,Urban,12.98 [12.59-13.72]
Belgium,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.37 [9.09-10.29]
Belize,Concentrations of fine particulate matter (PM2.5),2016,Total,21.23 [9.43-47.21]
Belize,Concentrations of fine particulate matter (PM2.5),2016,Urban,20.89 [8.8-46.95]
Belize,Concentrations of fine particulate matter (PM2.5),2016,Rural,21.25 [9.49-47.21]
Benin,Concentrations of fine particulate matter (PM2.5),2016,Total,33.11 [20.65-68.88]
Benin,Concentrations of fine particulate matter (PM2.5),2016,Urban,30.4 [18.2-55.16]
Benin,Concentrations of fine particulate matter (PM2.5),2016,Rural,41.32 [22.38-104.6]
Bhutan,Concentrations of fine particulate matter (PM2.5),2016,Total,35.32 [32.75-44.99]
Bhutan,Concentrations of fine particulate matter (PM2.5),2016,Urban,35.45 [37.73-48.06]
Bhutan,Concentrations of fine particulate matter (PM2.5),2016,Rural,35.29 [31.15-44.22]
Bolivia (Plurinational State of),Concentrations of fine particulate matter (PM2.5),2016,Total,20.24 [14.83-32.18]
Bolivia (Plurinational State of),Concentrations of fine particulate matter (PM2.5),2016,Urban,23.33 [17.92-33.78]
Bolivia (Plurinational State of),Concentrations of fine particulate matter (PM2.5),2016,Rural,18.37 [12.81-30.64]
Bosnia and Herzegovina,Concentrations of fine particulate matter (PM2.5),2016,Total,27.25 [23.75-30.69]
Bosnia and Herzegovina,Concentrations of fine particulate matter (PM2.5),2016,Urban,29.74 [25.73-33.3]
Bosnia and Herzegovina,Concentrations of fine particulate matter (PM2.5),2016,Rural,24.27 [21.54-27.61]
Botswana,Concentrations of fine particulate matter (PM2.5),2016,Total,21.24 [13.38-35.22]
Botswana,Concentrations of fine particulate matter (PM2.5),2016,Urban,20.88 [14.01-34.16]
Botswana,Concentrations of fine particulate matter (PM2.5),2016,Rural,21.33 [13.26-36.1]
Brazil,Concentrations of fine particulate matter (PM2.5),2016,Total,11.49 [10.92-14.92]
Brazil,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.82 [11.31-15.14]
Brazil,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.5 [8.3-15.23]
Brunei Darussalam,Concentrations of fine particulate matter (PM2.5),2016,Total,5.78 [4.7-7.21]
Brunei Darussalam,Concentrations of fine particulate matter (PM2.5),2016,Urban,5.78 [4.63-7.2]
Brunei Darussalam,Concentrations of fine particulate matter (PM2.5),2016,Rural,5.77 [4.7-7.2]
Bulgaria,Concentrations of fine particulate matter (PM2.5),2016,Total,18.82 [18.33-20.63]
Bulgaria,Concentrations of fine particulate matter (PM2.5),2016,Urban,20.8 [20.2-22.3]
Bulgaria,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.68 [16.52-19.07]
Burkina Faso,Concentrations of fine particulate matter (PM2.5),2016,Total,36.78 [19.91-101.9]
Burkina Faso,Concentrations of fine particulate matter (PM2.5),2016,Urban,36.33 [17.98-103.7]
Burkina Faso,Concentrations of fine particulate matter (PM2.5),2016,Rural,37.19 [21.53-99.82]
Burundi,Concentrations of fine particulate matter (PM2.5),2016,Total,35.61 [15.11-91.6]
Burundi,Concentrations of fine particulate matter (PM2.5),2016,Urban,35.64 [15.15-91.69]
Burundi,Concentrations of fine particulate matter (PM2.5),2016,Rural,35.18 [15.43-90.9]
Cabo Verde,Concentrations of fine particulate matter (PM2.5),2016,Total,31.99 [16.01-61.12]
Cabo Verde,Concentrations of fine particulate matter (PM2.5),2016,Urban,31.65 [15.69-60.83]
Cabo Verde,Concentrations of fine particulate matter (PM2.5),2016,Rural,33.57 [16.68-62.68]
Cambodia,Concentrations of fine particulate matter (PM2.5),2016,Total,23.98 [14.44-37.96]
